DateTime,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT,DEALNUM,CHG,PCT_CHG,SWING
2010/1/4,3277.139,3289.75,3295.279,3243.319,3243.76,10944792700,1.33773E+11,NaN,-33.379,-1.018541,1.585529
2010/1/5,3243.76,3254.468,3290.512,3221.462,3282.179,12611506600,1.61858E+11,NaN,38.419,1.184397,2.128702
2010/1/6,3282.179,3277.517,3295.868,3253.044,3254.215,12365138400,1.5804E+11,NaN,-27.964,-0.851995,1.304743
2010/1/7,3254.215,3253.991,3268.819,3176.707,3192.776,12865282700,1.5723E+11,NaN,-61.439,-1.887982,2.830544
2010/1/8,3192.776,3177.259,3198.92,3149.017,3195.997,9837714700,1.2174E+11,NaN,3.221,0.100884,1.562997
2010/1/11,3195.997,3301.611,3306.751,3197.328,3212.75,13632721600,1.77558E+11,NaN,16.753,0.524187,3.423752
2010/1/12,3212.75,3205.705,3275.202,3180.085,3273.966,14065524100,1.7395E+11,NaN,61.216,1.905408,2.96061
2010/1/13,3273.966,3204.976,3232.818,3165.485,3172.658,15834427800,1.9733E+11,NaN,-101.308,-3.094351,2.056619
2010/1/14,3172.658,3183.381,3219.016,3165.596,3215.55,13595450400,1.68004E+11,NaN,42.892,1.351926,1.683762
2010/1/15,3215.55,3217.19,3241.815,3197.221,3224.152,12054113500,1.51442E+11,NaN,8.602,0.267513,1.386823
2010/1/18,3224.152,3213.637,3238.242,3202.207,3237.098,13506723800,1.69761E+11,NaN,12.946,0.401532,1.117658
2010/1/19,3237.098,3242.216,3268.806,3236.839,3246.874,12994353200,1.62673E+11,NaN,9.776,0.301999,0.98752
2010/1/20,3246.874,3252.037,3255.128,3148.334,3151.85,15824311200,1.92662E+11,NaN,-95.024,-2.92663,3.289133
2010/1/21,3151.85,3154.189,3176.147,3126.902,3158.863,11433707900,1.42103E+11,NaN,7.013,0.222504,1.562416
2010/1/22,3158.863,3118.724,3147.829,3062.629,3128.588,13775853800,1.63571E+11,NaN,-30.275,-0.958414,2.697173
2010/1/25,3128.588,3103.32,3136.999,3092.926,3094.411,7836186200,95145982252,NaN,-34.177,-1.09241,1.408719
2010/1/26,3094.411,3094.848,3107.198,3001.956,3019.394,9350709200,1.09257E+11,NaN,-75.017,-2.424274,3.401035
2010/1/27,3019.394,3020.54,3028.647,2972.627,2986.607,7655221400,90324580783,NaN,-32.787,-1.08588,1.855339
2010/1/28,2986.607,2985.214,3006.039,2963.891,2994.143,7336576700,85654271668,NaN,7.536,0.252326,1.411234
2010/1/29,2994.143,2979.743,3024.848,2968.453,2989.292,8047587500,95656890361,NaN,-4.851,-0.162016,1.883511
2010/2/1,2989.292,2981.374,2981.374,2912.887,2941.36,8814711400,1.0376E+11,NaN,-47.932,-1.603457,2.291078
2010/2/2,2941.36,2955.753,2990.748,2930.559,2934.713,8248578900,97685864726,NaN,-6.647,-0.225984,2.046298
2010/2/3,2934.713,2945.034,3005.131,2890.021,3003.835,10102253700,1.19046E+11,NaN,69.122,2.355324,3.92236
2010/2/4,3003.835,2983.05,3015.126,2968.68,2995.308,9991836400,1.14601E+11,NaN,-8.527,-0.28387,1.546223
2010/2/5,2995.308,2936.197,2959.233,2918.909,2939.402,9727498900,1.10882E+11,NaN,-55.906,-1.866452,1.346239
2010/2/8,2939.402,2936.452,2954.266,2922.187,2935.174,6329958200,73159983988,NaN,-4.228,-0.143839,1.091344
2010/2/9,2935.174,2932.09,2957.474,2929.21,2948.842,6228220700,68112416249,NaN,13.668,0.465662,0.962941
2010/2/10,2948.842,2967.138,2983.179,2958.217,2982.5,5558800500,67017903257,NaN,33.658,1.141397,0.846502
2010/2/11,2982.5,2985.082,3001.636,2976.079,2985.499,5664630500,64892509384,NaN,2.999,0.100553,0.856899
2010/2/12,2985.499,2996.088,3018.858,2993.437,3018.133,5609212400,66931569830,NaN,32.634,1.093084,0.851482
2010/2/22,3018.133,3016.703,3026.659,3002.811,3003.398,6850514300,78744835875,NaN,-14.735,-0.488216,0.790157
2010/2/23,3003.398,2998.907,2998.907,2938.753,2982.575,8039285800,98223524247,NaN,-20.823,-0.693315,2.002865
2010/2/24,2982.575,2964.984,3023.739,2955.069,3022.177,9291896200,1.05569E+11,NaN,39.602,1.327779,2.302373
2010/2/25,3022.177,3026.656,3063.004,3022.373,3060.618,11967078100,1.38962E+11,NaN,38.441,1.271964,1.344428
2010/2/26,3060.618,3053.498,3067.525,3041.689,3051.943,10129629100,1.21469E+11,NaN,-8.675,-0.283439,0.844143
2010/3/1,3051.943,3057.006,3093.095,3054.554,3087.842,11103887800,1.31302E+11,NaN,35.899,1.176267,1.262835
2010/3/2,3087.842,3089.706,3095.992,3060.956,3073.108,10532764700,1.24559E+11,NaN,-14.734,-0.477162,1.134644
2010/3/3,3073.108,3074.099,3098.456,3061.467,3097.005,11715651900,1.36522E+11,NaN,23.897,0.777617,1.203635
2010/3/4,3097.005,3098.069,3102.398,3016.215,3023.373,12638388900,1.4494E+11,NaN,-73.632,-2.377523,2.782785
2010/3/5,3023.373,3026.639,3044.165,3011.088,3031.065,9225966500,1.05764E+11,NaN,7.692,0.254418,1.094043
